"source_id","file_id","team","name","number","position","minutes","field_goals","fg_pct","three_pointers","three_pt_pct","free_throws","ft_pct","rebounds","assists","turnovers","steals","blocks","points","offensive_rebounds","defensive_rebounds","personal_fouls","technical_fouls","efficiency","usage_pct","points_per_minute","fgm","fga","tpm","tpa","ftm","fta","starter"
2019,11443,"Maryland","B. WATSON",22,"G",33,"3-8",37.5,"3-6",50.0,"0-0",0.0,7,1,2,2,1,9,4,3,2,0,13.0,13.34,0.273,3,8,3,6,0,0,0
2019,11443,"Maryland","S. VUJACIC",32,"G",6,"0-0",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0
2019,11444,"Maryland","S. AUSTIN",1,"F",31,"3-4",75.0,"0-0",0.0,"4-6",66.7,6,4,4,1,1,10,0,6,0,0,15.0,14.91,0.323,3,4,0,0,4,6,1
2019,11444,"Maryland","K. CHARLES",5,"G",16,"4-6",66.7,"0-0",0.0,"1-1",100.0,8,2,3,3,1,9,3,5,5,0,18.0,25.63,0.563,4,6,0,0,1,1,1
2019,11444,"Maryland","T. MIKESELL",11,"G",29,"8-12",66.7,"5-9",55.6,"2-2",100.0,4,2,2,3,0,23,1,3,0,0,26.0,22.29,0.793,8,12,5,9,2,2,1
2019,11444,"Maryland","A. OWUSU",15,"G",27,"4-5",80.0,"2-3",66.7,"2-6",33.3,6,6,2,0,0,12,0,6,1,0,17.0,15.51,0.444,4,5,2,3,2,6,1
2019,11444,"Maryland","B. WATSON",22,"G",17,"4-9",44.4,"3-7",42.9,"1-2",50.0,3,1,0,2,1,12,3,0,0,0,13.0,25.25,0.706,4,9,3,7,1,2,1
2019,11444,"Maryland","F. MASONIUS",13,"F",15,"3-7",42.9,"0-2",0.0,"0-0",0.0,4,0,2,0,2,6,3,1,4,0,6.0,26.06,0.4,3,7,0,2,0,0,0
2019,11444,"Maryland","D. MILLER",14,"G",26,"3-8",37.5,"1-3",33.3,"2-4",50.0,4,4,3,3,0,9,3,1,3,0,10.0,21.32,0.346,3,8,1,3,2,4,0
2019,11444,"Maryland","S. JONES",24,"F",21,"5-7",71.4,"0-0",0.0,"1-2",50.0,1,2,1,1,1,11,0,1,3,0,12.0,18.37,0.524,5,7,0,0,1,2,0
2019,11444,"Maryland","S. VUJACIC",32,"G",18,"3-6",50.0,"1-3",33.3,"0-0",0.0,6,6,1,2,0,7,1,5,0,0,17.0,16.89,0.389,3,6,1,3,0,0,0
2019,11444,"Delaware","A. GONZALES",2,"G",20,"2-4",50.0,"2-2",100.0,"0-0",0.0,3,4,5,1,0,6,1,2,3,0,7.0,18.85,0.3,2,4,2,2,0,0,1
2019,11444,"Delaware","A. PAUL",5,"F",30,"1-3",33.3,"0-0",0.0,"0-0",0.0,6,0,3,0,0,2,4,2,3,0,3.0,8.38,0.067,1,3,0,0,0,0,1
2019,11444,"Delaware","T. JOHNSON",10,"G",36,"6-18",33.3,"2-5",40.0,"1-2",50.0,2,2,3,3,0,15,0,2,1,0,6.0,25.46,0.417,6,18,2,5,1,2,1
