source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2022,13141,2,34,12,Elisa Pinzan,2,10,Abby Meyers,3PTR,3,43.0,36.0,10 Abby Meyers 3PTR GOOD (18 Pt); 12 Elisa Pinzan Assist (2 Asst)
2022,13141,3,573,13,Faith Masonius,1,01,Diamond Miller,JUMPER,2,45.0,36.0,01 Diamond Miller JUMPER GOOD (4 Pt); 13 Faith Masonius Assist (1 Asst)
2022,13141,3,460,00,Shyanne Sellers,4,05,Brinae Alexander,3PTR,3,48.0,40.0,05 Brinae Alexander 3PTR GOOD (8 Pt); 00 Shyanne Sellers Assist (4 Asst)
2022,13141,3,141,00,Shyanne Sellers,5,01,Diamond Miller,LAYUP,2,58.0,54.0,01 Diamond Miller LAYUP GOOD (6 Pt); 00 Shyanne Sellers Assist (5 Asst)
2022,13141,3,85,05,Brinae Alexander,2,03,Lavender Briggs,3PTR,3,61.0,56.0,03 Lavender Briggs 3PTR GOOD (7 Pt); 05 Brinae Alexander Assist (2 Asst)
2022,13141,4,516,10,Abby Meyers,2,00,Shyanne Sellers,3PTR,3,67.0,62.0,00 Shyanne Sellers 3PTR GOOD (16 Pt); 10 Abby Meyers Assist (2 Asst)
2022,13141,4,427,10,Abby Meyers,3,05,Brinae Alexander,JUMPER,2,70.0,62.0,05 Brinae Alexander JUMPER GOOD (10 Pt); 10 Abby Meyers Assist (3 Asst)
2022,13141,4,370,05,Brinae Alexander,3,01,Diamond Miller,JUMPER,2,72.0,67.0,01 Diamond Miller JUMPER GOOD (10 Pt); 05 Brinae Alexander Assist (3 Asst)
2022,13141,4,235,00,Shyanne Sellers,6,05,Brinae Alexander,3PTR,3,78.0,71.0,05 Brinae Alexander 3PTR GOOD (13 Pt); 00 Shyanne Sellers Assist (6 Asst)
2022,13141,4,34,05,Brinae Alexander,4,01,Diamond Miller,3PTR,3,83.0,76.0,01 Diamond Miller 3PTR GOOD (15 Pt); 05 Brinae Alexander Assist (4 Asst)
2022,13142,1,537,12,Elisa Pinzan,1,01,Diamond Miller,3PTR,3,2.0,3.0,01 Diamond Miller 3PTR GOOD (3 Pt); 12 Elisa Pinzan Assist (1 Asst)
2022,13142,1,435,12,Elisa Pinzan,2,00,Shyanne Sellers,JUMPER,2,2.0,5.0,00 Shyanne Sellers JUMPER GOOD (2 Pt); 12 Elisa Pinzan Assist (2 Asst)
2022,13142,1,183,00,Shyanne Sellers,1,10,Abby Meyers,3PTR,3,9.0,12.0,10 Abby Meyers 3PTR GOOD (3 Pt); 00 Shyanne Sellers Assist (1 Asst)
2022,13142,1,74,05,Brinae Alexander,1,10,Abby Meyers,LAYUP,2,11.0,18.0,10 Abby Meyers LAYUP GOOD (7 Pt); 05 Brinae Alexander Assist (1 Asst)
2022,13142,2,510,12,Elisa Pinzan,3,10,Abby Meyers,3PTR,3,16.0,25.0,10 Abby Meyers 3PTR GOOD (10 Pt); 12 Elisa Pinzan Assist (3 Asst)
2022,13142,2,365,01,Diamond Miller,1,12,Elisa Pinzan,3PTR,3,16.0,30.0,12 Elisa Pinzan 3PTR GOOD (5 Pt); 01 Diamond Miller Assist (1 Asst)
2022,13142,2,164,12,Elisa Pinzan,4,03,Lavender Briggs,JUMPER,2,19.0,34.0,03 Lavender Briggs JUMPER GOOD (2 Pt); 12 Elisa Pinzan Assist (4 Asst)
2022,13142,2,88,03,Lavender Briggs,1,00,Shyanne Sellers,LAYUP,2,21.0,36.0,00 Shyanne Sellers LAYUP GOOD (6 Pt); 03 Lavender Briggs Assist (1 Asst)
2022,13142,2,56,03,Lavender Briggs,2,05,Brinae Alexander,3PTR,3,23.0,39.0,05 Brinae Alexander 3PTR GOOD (5 Pt); 03 Lavender Briggs Assist (2 Asst)
2022,13142,3,582,01,Diamond Miller,2,10,Abby Meyers,JUMPER,2,23.0,41.0,10 Abby Meyers JUMPER GOOD (14 Pt); 01 Diamond Miller Assist (2 Asst)
2022,13142,3,473,10,Abby Meyers,1,01,Diamond Miller,LAYUP,2,28.0,47.0,01 Diamond Miller LAYUP GOOD (11 Pt); 10 Abby Meyers Assist (1 Asst)
2022,13142,3,363,01,Diamond Miller,3,05,Brinae Alexander,3PTR,3,31.0,54.0,05 Brinae Alexander 3PTR GOOD (8 Pt); 01 Diamond Miller Assist (3 Asst)
2022,13142,3,322,01,Diamond Miller,4,00,Shyanne Sellers,3PTR,3,31.0,57.0,00 Shyanne Sellers 3PTR GOOD (9 Pt); 01 Diamond Miller Assist (4 Asst)
2022,13142,3,140,05,Brinae Alexander,2,00,Shyanne Sellers,3PTR,3,31.0,64.0,00 Shyanne Sellers 3PTR GOOD (14 Pt); 05 Brinae Alexander Assist (2 Asst)
